Kata Baku,Kata Tidak Baku
abjad ,abjat
advokat,adpokat
adhesi ,adesi
afdal ,afdol
aktif ,aktip
aktivitas ,aktifitas
akuatik ,aquatik
ambeien ,ambeyen
alarm ,alaram
ambulans ,ambulan
amendemen ,amandemen
amfibi ,ampibi
amonia ,amoniak
analisis ,analisa
andal ,handal
antre ,antri
apotek ,apotik
artefak ,artifak
asas ,azas
astronout ,astronot
asyik ,asik
ateis ,atheis
ateisme ,atheisme
atlet ,atlit
atmosfer ,atmosfir
autentik ,otentik
azan ,adzan
balig ,baligh
balsam ,balsem
baterai ,baterei
berandal ,brandal
berantas ,brantas
berengsek ,brengsek
berpikir ,berfikir
bertanggung jawab ,bertanggungjawab
bolpoin ,bolpen
brankas ,berankas
bujet ,budget
boling ,bowling
boraks ,borax
bus ,bis
cabai ,cabe
capai ,capek
cecak ,cicak
cedera ,cidera
cendekia ,cendikia
cendekiawan ,cendikiawan
cendera mata ,cenderamata
cengkerama ,cengkrama
cengkih ,cengkeh
cokelat ,coklat
daftar ,daptar
dahsyat ,dasyat
dahulu ,dulu
darmasiswa ,darma siswa
darmawisata ,darma wisata
dasbor ,dasbord
debitur ,debitor
detail ,detil
detergen ,deterjen
digit ,dijit
diagnosis ,diagnosa
diferensial ,differensial
dolar ,dollar
doping ,dopping
dram / drum ,drem
durian ,duren
efektif ,efektip
eksplisit ,explisit
eksponen ,eksponent
ekspor ,eksport
ekspres ,expres
ekstra ,extra
ekstrem ,ekstrim
ekuivalen ,ekuifalen
elite ,elit
embus ,hembus
esai ,esei
faksimile ,faksimili
februari ,pebruari
figur ,figure
fondasi ,pondasi
formal ,formil
fosfor ,pospor
foto ,photo
fotokopi ,photokopi
fotosintesis ,fotosintesa
fotomodel ,foto-model
fraksinasi ,fraksinase
frasa ,frase
frekuensi ,frekwensi
gaib ,ghaib / ghoib
gangster ,gengster
ganjal ,ganjel
gatal ,gatel
gelora ,glora
geladi ,gladi
genius ,jenius
gereget ,greget
gizi ,giji
gua ,goa
gubuk ,gubug
gudeg,gudek
hadis,hadist
hafal ,hapal
hakikat ,hakekat
hangus ,angus
hektare ,hektar
herpes ,herves
heterografi ,hetrografi
hipotesis ,hipotesa
histori ,history
idiil ,idil
ihram ,ikhram
ijazah ,ijasah
ikhlas ,iklas / ihlas
imbau ,himbau
impor ,import
indra ,indera
insaf ,insyaf
intens ,inten
inti sari ,intisari
isap ,hisap
isra ,isra?
istigfar ,istighfar
istri ,isteri
intermeso ,intemezo
izin ,ijin
jadwal ,jadual
jagat ,jagat
jaiz ,jais
jasad ,jasat
jemaah ,jamaah
jenazah ,jenasah
jenderal ,jendral
judo ,yudo
jumat ,jum?at
junior ,yunior
juri ,yuri
kaidah ,kaedah
kakbah ,kaabah / ka?bah
kanker ,kangker
karena ,karnaÿ
karier ,karir
karisma ,kharisma
karnaval ,karnafal
kasrah ,kasroh
katalisis ,katalisa
katapel ,ketapel
kategori ,katagori
kebun ,kebon
kedaluwarsa ,kadaluarsa / kadaluwarsa
kedelai ,kedelei
kelengkeng ,klengkeng
kendur ,kendor
khatam ,katam / hatam
khawatir ,kuatir
khotbah ,khutbah
kiai ,kyai
klien ,client
kliping ,keliping
kloter ,keloter
koboi ,koboy
komersial ,komersil
kompleks ,komplek
komplet ,komplit
kongres ,konggres
konsumtif ,konsumtip
koordinasi ,koordinir
korsleting ,konsleting
kosa kata ,kosakata
kreatif ,kreatip
kreativitas ,kreatifitas
kreditur ,kreditor
kualifikasi ,kwalifikasi
kualitas ,kwalitas
kuantitatif ,kwantitatif
kuitansi ,kwitansi
label ,lebel
lafal ,lapal
legalisasi ,legalisir
lembab ,lembap
litosfer ,litosfir
lubang ,lobang
maaf ,maap
macam ,macem
magrib ,maghrib
maksimum ,maximum
mangkuk ,mangkok
mantra ,mantera
massal ,masal
masjid ,mesjid
memengaruhi ,mempengaruhi
mengonsumsi ,mengkonsumsi
mengubah ,merubah
menteri ,mentri
menyontek ,mencontek
merek ,merk
mesosfer ,mesosfir
meterai ,materai
metode ,metoda
mikraj ,mi?raj
misi ,missi
miliar ,miliyar
mulia ,mulya
nakhoda ,nahkoda
napas ,nafas
narasumber ,nara sumber
nasihat ,nasehat
negeri ,negri
neto ,netto
nomor ,nomer
nonblok ,non-blok
nonmiliter ,non militer
notula ,notulen
november ,nopember
objek ,obyek
objektif ,obyektif
oke ,ok
omzet ,omset
organisasi ,organisir
orisinal ,orisinil
paham ,faham
pahit ,pait
palem ,palm
pancuran ,pancoran
paradoks ,paradox
pascapanen ,pasca panen
pascaperangÿ ,pasca perang
pascasarjana ,pasca sarjana
paspor ,pasport
pedas ,pedes
permak,vermak
pensil ,pinsil
persepsi ,presepsi
perspektif ,perespektif
pikir ,fikir
prancis ,perancis
presidensial ,presidental
produktif ,produktip
produktivitas ,produktifitas
proyek ,projek
provinsi ,propinsi
putra ,putera
putri ,puteri
quran ,qur?an
ramai ,rame
rapi ,rapih
rapor ,raport
reaumur ,reamur
respons ,respon
resistans ,resistan
reumatik ,rematik
rezeki ,rejeki
rezim ,resim
risiko ,resiko
roboh ,rubuh
roh ,ruh
sahih ,sohih
saksama ,seksama
sambal ,sambel
sanksi ,sangsi
satra ,sastera
satai ,sate
saus ,saos
sekadar ,sekedar
sekretaris ,sekertaris
seprai ,seprei
setrika ,seterika / strika
sintesis ,sintesa
sopir ,supir
standardisasi ,standarisasi
statosfer ,statosfir
subjek ,subyek
survei ,survey
sutra ,sutera
swiss ,swis
syahid ,sahid
syawal ,sawal
teknik ,tehnik
teladan ,tauladan
telepon ,telpon
tenteram ,tentram
termosfer ,termosfir
tobat ,taubat
transpor ,transport
triliun ,triliyun
tripleks ,triplek
trofi ,tropi
umrah ,umroh
unta ,onta
urgen ,urgent
urine ,urin
ustaz ,ustadz
utang ,hutang
varietas ,varietes / varitas
wali kota ,walikota
yogyakarta ,jogjakarta
yudikatif ,judikatif
zaman ,jaman
zamrud ,jamrud
zamzam ,zam-zam
